7:17,654,84,354,1102,787,162,94,182,97
18:18,14035,7905,27705,15122,17123,5888,6483,20547,35030
19:20
36:302,508,138,899,245,1119,947,568,364,1405
37:518,245,327,363,94,364,1405,1344,119,131
41:8,84,70,518,1102,289,698,554,273,656
42:616,8,101,698,873,2139,568,656,546,2512
43:70,1119,826,1468,44,1313,6303,1155,1677,11973
44:17,654,58,29,650,224,1102,138,736,238
45:670,46,16995,14993,2081,24127,32098,38891,54551,68416
46:17,654,84,29,70,518,224,138,301,101
59:17,302,8,866,84,70,518,736,361,327
60:17,654,866,354,301,361,61,363,62,358
